id,SNUADC/ART,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ECG_V5,SNUADC/FEM,SNUADC/PLETH,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/CVP,Solar8000/ETCO2,Solar8000/FEM_DBP,Solar8000/FEM_MBP,Solar8000/FEM_SBP,Solar8000/FEO2,Solar8000/FIO2,Solar8000/GAS2_EXPIRED,Solar8000/GAS2_INSPIRED,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PA_DBP,Solar8000/PA_MBP,Solar8000/PA_SBP,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/RR,Solar8000/RR_CO2,Solar8000/ST_AVF,Solar8000/ST_AVL,Solar8000/ST_AVR,Solar8000/ST_I,Solar8000/ST_II,Solar8000/ST_III,Solar8000/ST_V5,Solar8000/VENT_COMPL,Solar8000/VENT_INSP_TM,Solar8000/VENT_MAWP,Solar8000/VENT_MEAS_PEEP,Solar8000/VENT_MV,Solar8000/VENT_PIP,Solar8000/VENT_PPLAT,Solar8000/VENT_RR,Solar8000/VENT_SET_FIO2,Solar8000/VENT_SET_PCP,Solar8000/VENT_SET_TV,Solar8000/VENT_TV,Primus/AWP,Primus/CO2,Primus/COMPLIANCE,Primus/ETCO2,Primus/EXP_DES,Primus/EXP_SEVO,Primus/FEN2O,Primus/FEO2,Primus/FIN2O,Primus/FIO2,Primus/FLOW_AIR,Primus/FLOW_N2O,Primus/FLOW_O2,Primus/INCO2,Primus/INSP_DES,Primus/INSP_SEVO,Primus/MAC,Primus/MAWP_MBAR,Primus/MV,Primus/PAMB_MBAR,Primus/PEEP_MBAR,Primus/PIP_MBAR,Primus/PPLAT_MBAR,Primus/RR_CO2,Primus/SET_AGE,Primus/SET_FIO2,Primus/SET_FLOW_TRIG,Primus/SET_FRESH_FLOW,Primus/SET_INSP_PAUSE,Primus/SET_INSP_PRES,Primus/SET_INSP_TM,Primus/SET_INTER_PEEP,Primus/SET_PIP,Primus/SET_RR_IPPV,Primus/SET_TV_L,Primus/TV,Primus/VENT_LEAK,Orchestra/AMD_RATE,Orchestra/AMD_VOL,Orchestra/DEX2_RATE,Orchestra/DEX2_VOL,Orchestra/DEX4_RATE,Orchestra/DEX4_VOL,Orchestra/DOBU_RATE,Orchestra/DOBU_VOL,Orchestra/DOPA_RATE,Orchestra/DOPA_VOL,Orchestra/DTZ_RATE,Orchestra/DTZ_VOL,Orchestra/EPI_RATE,Orchestra/EPI_VOL,Orchestra/FUT_RATE,Orchestra/FUT_VOL,Orchestra/MRN_RATE,Orchestra/MRN_VOL,Orchestra/NEPI_RATE,Orchestra/NEPI_VOL,Orchestra/NPS_RATE,Orchestra/NPS_VOL,Orchestra/NTG_RATE,Orchestra/NTG_VOL,Orchestra/OXY_RATE,Orchestra/OXY_VOL,Orchestra/PGE1_RATE,Orchestra/PGE1_VOL,Orchestra/PHEN_RATE,Orchestra/PHEN_VOL,Orchestra/PPF20_CE,Orchestra/PPF20_CP,Orchestra/PPF20_CT,Orchestra/PPF20_RATE,Orchestra/PPF20_VOL,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,Orchestra/RFTN50_CE,Orchestra/RFTN50_CP,Orchestra/RFTN50_CT,Orchestra/RFTN50_RATE,Orchestra/RFTN50_VOL,Orchestra/ROC_RATE,Orchestra/ROC_VOL,Orchestra/VASO_RATE,Orchestra/VASO_VOL,Orchestra/VEC_RATE,Orchestra/VEC_VOL,BIS/BIS,BIS/EEG1_WAV,BIS/EEG2_WAV,BIS/EMG,BIS/SEF,BIS/SQI,BIS/SR,BIS/TOTPOW,Invos/SCO2_L,Invos/SCO2_R,Vigileo/CI,Vigileo/CO,Vigileo/SV,Vigileo/SVI,Vigileo/SVV,EV1000/ART_MBP,EV1000/CI,EV1000/CO,EV1000/CVP,EV1000/SV,EV1000/SVI,EV1000/SVR,EV1000/SVRI,EV1000/SVV,Vigilance/BT_PA,Vigilance/CI,Vigilance/CO,Vigilance/EDV,Vigilance/EDVI,Vigilance/ESV,Vigilance/ESVI,Vigilance/HR_AVG,Vigilance/RVEF,Vigilance/SNR,Vigilance/SQI,Vigilance/SV,Vigilance/SVI,Vigilance/SVO2,CardioQ/ABP,CardioQ/FLOW,CardioQ/CI,CardioQ/CO,CardioQ/FTc,CardioQ/FTp,CardioQ/HR,CardioQ/MA,CardioQ/MD,CardioQ/PV,CardioQ/SD,CardioQ/SV,CardioQ/SVI,FMS/FLOW_RATE,FMS/INPUT_AMB_TEMP,FMS/INPUT_TEMP,FMS/OUTPUT_AMB_TEMP,FMS/OUTPUT_TEMP,FMS/PRESSURE,FMS/TOTAL_VOL,EVENT,Solar8000/GAS2_AGENT
0011.vital,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0012.vital,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0013.vital,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0014.vital,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0015.vital,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0016.vital,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0017.vital,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0018.vital,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0019.vital,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
0020.vital,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0021.vital,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0022.vital,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
